Date,Open,High,Low,Close,Volume,Adjusted,Symbol,EPS,Dividend
2009-02-04,14.753,14.96,14.493,14.015,29432000,13.441351,MA,0.09,0.06
2009-02-05,15.347,16.724,15.195,15.984,94885000,15.32976,MA,0.09,0.06
2009-02-06,16.741,17.166,16.325,16.25,64285000,15.584874,MA,0.09,0.06
2009-02-09,16.916,17.023,16.422,16.202,33238000,15.538831,MA,0.09,0.06
2009-02-10,16.839,17.284,16.386,15.797,27107000,15.150415,MA,0.09,0.06
2009-02-11,16.682,17.1,16.342,16.398001,27056000,15.726813,MA,0.09,0.06
2009-02-12,16.81,16.907,16.177,16.18,39540000,15.517735,MA,0.09,0.06
2009-02-13,17.047,17.609,16.877,16.190001,44516000,15.527327,MA,0.09,0.06
2009-02-17,16.474,16.627,15.918,15.509,46498000,14.874199,MA,0.09,0.06
2009-02-18,16.374,16.735,16.026,15.904,31373000,15.253031,MA,0.09,0.06
2009-02-19,16.761,16.891,16.081,15.455,29852000,14.822411,MA,0.09,0.06
2009-02-20,15.782,16.618,15.685,15.801,33074000,15.154248,MA,0.09,0.06
2009-02-23,16.735,16.934,15.767,15.258,29356000,14.633473,MA,0.09,0.06
2009-02-24,15.953,16.865,15.789,16.127001,45905000,15.466907,MA,0.09,0.06
2009-02-25,16.657,17.304,16.415,16.257,52819000,15.591581,MA,0.09,0.06
2009-02-26,17.152,17.152,16.162,15.57,46944000,14.932702,MA,0.09,0.06
2009-02-27,15.888,16.947,15.824,15.803,45445000,15.156166,MA,0.09,0.06
2009-03-02,16.138,16.547,15.546,15.063,41411000,14.446455,MA,0.09,0.06
2009-03-03,15.932,16.158,15.41,15.101,37274000,14.4829,MA,0.09,0.06
2009-03-04,16.068,16.245,15.265,15.048,39553000,14.432067,MA,0.09,0.06
2009-03-05,15.408,16.072,15.138,14.692,38804000,14.09064,MA,0.09,0.06
2009-03-06,15.432,15.462,14.51,14.244,37595000,13.660975,MA,0.09,0.06
